Id,Name,Place,Type,Price,ReviewsCount,Rating,City,State
0,BUNK Hotel Amsterdam,Amsterdam Noord; Amsterdam,Bunk Pod for 2,8000,778,8.4,Amsterdam Noord, Amsterdam
1,YOTEL Amsterdam,Amsterdam Noord; Amsterdam,Premium Double Room,15267,500,8.1,Amsterdam Noord, Amsterdam
2,Multatuli Hotel,Amsterdam City Center; Amsterdam,Double Room,13063,1605,7.4,Amsterdam City Center, Amsterdam
3,nhow Amsterdam Rai,Zuideramstel; Amsterdam,nhow Double or Twin Room with View,12854,500,9,Zuideramstel, Amsterdam
4,Motel One Amsterdam,Zuideramstel; Amsterdam,Double Room,9471,500,8.8,Zuideramstel, Amsterdam
5,INNSiDE by Melia Amsterdam,Zuideramstel; Amsterdam,The Innside Guestroom,14123,1264,8.4,Zuideramstel, Amsterdam
6,Eden Hotel Amsterdam,Amsterdam City Center; Amsterdam,Small Double Room,20060,500,8.3,Amsterdam City Center, Amsterdam
7,citizenM Amsterdam South,Zuideramstel; Amsterdam,King Room,14206,500,8.8,Zuideramstel, Amsterdam
8,The Alfred Hotel,Oud Zuid; Amsterdam,Standard Double Room,12655,2069,7.3,Oud Zuid, Amsterdam
9,Andaz Amsterdam Prinsengracht - a concept by Hyatt,Amsterdam City Center; Amsterdam,Observatory King,45038,,8.9,Amsterdam City Center, Amsterdam
10,Hyatt Regency Amsterdam,Amsterdam City Center; Amsterdam,Twin Room,31228,500,8.5,Amsterdam City Center, Amsterdam
11,NH Collection Amsterdam Flower Market,Amsterdam City Center; Amsterdam,Superior Double or Twin Room,29391,500,8.6,Amsterdam City Center, Amsterdam
12,ibis Styles Amsterdam Central Station,Amsterdam City Center; Amsterdam,Small Double Room,17798,500,7.9,Amsterdam City Center, Amsterdam
13,Leonardo Royal Hotel Amsterdam,Oost; Amsterdam,Queen Room - Disability Access,11336,500,8.5,Oost, Amsterdam
14,Rho Hotel,Amsterdam City Center; Amsterdam,Standard Double or Twin Room,18778,2974,8,Amsterdam City Center, Amsterdam
15,Leonardo Boutique Museumhotel,Oud Zuid; Amsterdam,Double or Twin Room,15357,500,7.9,Oud Zuid, Amsterdam
16,Hotel V Nesplein,Amsterdam City Center; Amsterdam,Comfort Double or Twin Room,21917,1278,8.9,Amsterdam City Center, Amsterdam
17,Kimpton De Witt Amsterdam; an IHG Hotel,Amsterdam City Center; Amsterdam,1 Queen or King Bed Essential Room,34617,500,8.8,Amsterdam City Center, Amsterdam
18,Qbic Hotel WTC Amsterdam,Zuideramstel; Amsterdam,Standard Double Room - No Window,8083,500,7.9,Zuideramstel, Amsterdam
19,Hotel Espresso,Oud West; Amsterdam,Small Double Room,12992,1935,7.8,Oud West, Amsterdam
20,Hotel Central Park,Oud Zuid; Amsterdam,Double Room,6794,518,6.8,Oud Zuid, Amsterdam
21,The White Tulip Hostel,Amsterdam City Center; Amsterdam,Standard Twin Bunk with Shared Bathroom,12246,2064,7,Amsterdam City Center, Amsterdam
22,Swissôtel Amsterdam,Amsterdam City Center; Amsterdam,Classic Double Room,21195,1629,8.6,Amsterdam City Center, Amsterdam
23,Holiday Inn Express Amsterdam - City Hall; an IHG Hotel,Amsterdam City Center; Amsterdam,Double Room,17308,500,8.4,Amsterdam City Center, Amsterdam
24,Hotel Atlantis Amsterdam,Oud Zuid; Amsterdam,Twin Room,9229,1783,7.4,Oud Zuid, Amsterdam
25,Holiday Home Green Resort Mooi Bemelen-19,Bemelen,Holiday Home,20982,1,10,Bemelen,
26,Holiday Home Green Resort Mooi Bemelen-2,Bemelen,Holiday Home,26534,1,9.6,Bemelen,
27,Holiday Home Green Resort Mooi Bemelen-12,Bemelen,Holiday Home,20982,2,9,Bemelen,
28,Holiday Home Green Resort Mooi Bemelen-31,Bemelen,Holiday Home,20982,1,9,Bemelen,
29,Holiday Home Green Resort Mooi Bemelen-15,Bemelen,Holiday Home,20982,1,9,Bemelen,
30,Holiday Home Green Resort Mooi Bemelen-10,Bemelen,Holiday Home,28330,1,9,Bemelen,
31,Holiday Home Green Resort Mooi Bemelen-13,Bemelen,Holiday Home,28330,1,9,Bemelen,
32,Holiday Home Green Resort Mooi Bemelen-16,Bemelen,Holiday Home,28330,4,8.5,Bemelen,
33,Resort Mooi Bemelen,Bemelen,Two-Bedroom House,11838,1155,8.1,Bemelen,
34,Holiday Home Green Resort Mooi Bemelen-6,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
35,Holiday Home Green Resort Mooi Bemelen-3,Bemelen,Holiday Home,20982,5,8.1,Bemelen,
36,Holiday Home Green Resort Mooi Bemelen-17,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
37,Holiday Home Green Resort Mooi Bemelen-21,Bemelen,Holiday Home,20982,40,8.1,Bemelen,
38,Holiday Home Green Resort Mooi Bemelen-10,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
39,Holiday Home Green Resort Mooi Bemelen-4,Bemelen,Holiday Home,20982,1,8,Bemelen,
40,Holiday Home Green Resort Mooi Bemelen-11,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
41,Holiday Home Green Resort Mooi Bemelen-32,Bemelen,Holiday Home,20982,1,8,Bemelen,
42,Holiday Home Green Resort Mooi Bemelen-33,Bemelen,Holiday Home,20982,1,8,Bemelen,
43,Holiday Home Green Resort Mooi Bemelen-20,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
44,Holiday Home Green Resort Mooi Bemelen-18,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
45,Holiday Home Green Resort Mooi Bemelen-14,Bemelen,Holiday Home,20982,18,8.1,Bemelen,
46,Holiday Home Green Resort Mooi Bemelen-5,Bemelen,Holiday Home,26534,19,8.1,Bemelen,
47,Holiday Home Green Resort Mooi Bemelen-3,Bemelen,Holiday Home,26534,18,8,Bemelen,
48,Holiday Home Green Resort Mooi Bemelen-7,Bemelen,Holiday Home,28330,3,8,Bemelen,
49,Holiday Home Green Resort Mooi Bemelen-12,Bemelen,Holiday Home,28330,1,8,Bemelen,
50,Anja's House,Breda,Double Room with Shared Bathroom,7136,88,9.2,Breda,
51,B&B de Druif,Breda,Two-Bedroom Apartment,7887,36,9.1,Breda,
52,Cottage Markdal,Breda,Two-Bedroom House,11757,500,9.2,Breda,
53,Cosy Nock ! Little Gem at City Center with Large Terrace !,Breda,One-Bedroom Apartment,19529,125,9.4,Breda,
54,Boutique Hotel Het Scheepshuys,Breda,Small Double Room with Shared Bathroom,6940,353,8.7,Breda,
55,B&B de Bievangh,Breda,Double Room with Private Bathroom,6948,131,8.5,Breda,
56,Hotel Sutor,Breda,Double Room,8287,841,8.6,Breda,
57,Hotel Nassau Breda; Autograph Collection,Breda,Superior; Guest room; 1 King,10340,500,8.9,Breda,
58,Bliss Boutique Hotel,Breda,Suite,15920,424,8.9,Breda,
59,Golden Tulip Keyser Breda Centre,Breda,Comfort Twin Room,8381,500,8.2,Breda,
60,Leonardo Hotel Breda City Center,Breda,Deluxe Double or Twin Room,9396,500,8.1,Breda,
61,Boutique Nouveau Van Ham,Breda,Classic Double Room,9539,1013,8.4,Breda,
62,Ingenhousz Breda,Breda,Standard Suite,10140,392,8.4,Breda,
63,Van der Valk Hotel Breda,Breda,Comfort Double Room with Shower,11430,500,8,Breda,
64,Parkhotel Mastbosch Breda,Breda,Standard Twin Room,8187,1136,7.7,Breda,
